"","ioname","acronym","cow_igocode","year","inception","typeI","pooling","delegation","delconstit","poolconstit","DS_sum_st","polyarchy","polyarchy_median","polity","gdp_cap","alliances","disparity","polity_homogeneity","number","law","trade","percentage","political","social","economic"
"1708","Interpol","INTERPOL",2700,1968,1946,"task-specific",0.297500014305115,0.25,0.16666667163372,0.330000013113022,0,0.36386808999191,0.242195428110609,-0.989473684210526,6659.83005130051,2.65753424657534,8370.35147714258,0.275605367806635,100,NA,50.8365809923406,0.32,0,1,0
"1709","Interpol","INTERPOL",2700,1992,1946,"task-specific",0.339166671037674,0.194444447755814,0.16666667163372,0.330000013113022,0,0.480221704927411,0.445445629022052,2.30496453900709,9928.2015696128,3.97142857142857,14644.8211129843,0.288106862230722,162,NA,72.8160585596549,0.530864197530864,0,1,0
"1710","Interpol","INTERPOL",2700,1959,1946,"task-specific",0.297500014305115,0.25,0.16666667163372,0.330000013113022,0,0.466307560196706,0.425473050052197,2.27272727272727,NA,2.79166666666667,NA,0.283349824552109,61,NA,NA,0.524590163934426,0,1,0
"1711","Interpol","INTERPOL",2700,1955,1946,"task-specific",0.020833333954215,0.0183333344757557,0,0,0,0.505123969369058,0.540758230325192,3.32608695652174,NA,2.825,NA,0.290472746569047,49,NA,NA,0.571428571428571,0,1,0
"1712","Interpol","INTERPOL",2700,1982,1946,"task-specific",0.297500014305115,0.25,0.16666667163372,0.330000013113022,0,0.363604372732007,0.205491347705766,-1.26050420168067,9732.34771063476,2.9622641509434,14546.5372874224,0.302302005993146,130,NA,74.1073688358532,0.330769230769231,0,1,0
"1713","Interpol","INTERPOL",2700,1961,1946,"task-specific",0.297500014305115,0.25,0.16666667163372,0.330000013113022,0,0.427264931869841,0.37297862577405,1.07352941176471,6941.98455133884,2.61290322580645,7461.64662961075,0.286510152069201,74,NA,44.1226411274543,0.486486486486487,0,1,0
"1714","Interpol","INTERPOL",2700,1960,1946,"task-specific",0.297500014305115,0.25,0.16666667163372,0.330000013113022,0,0.467428788197054,0.420604303364988,1.80701754385965,7896.55328303351,2.86,7462.26869513479,0.29070702237517,63,NA,43.5001415518622,0.523809523809524,0,1,0
"1715","Interpol","INTERPOL",2700,1974,1946,"task-specific",0.297500014305115,0.25,0.16666667163372,0.330000013113022,0,0.334500908909336,0.193535128086634,-1.85185185185185,8309.70475816467,2.64285714285714,10619.4418524833,0.291445185518867,116,NA,66.2017318631792,0.318965517241379,0,1,0
"1716","Interpol","INTERPOL",2700,1952,1946,"task-specific",0.020833333954215,0.0183333344757557,0,0,0,0.480500242107855,0.435235223389433,3.02631578947368,NA,2.58064516129032,NA,0.282749620714159,40,NA,NA,0.575,0,1,0
"1717","Interpol","INTERPOL",2700,1971,1946,"task-specific",0.297500014305115,0.25,0.16666667163372,0.330000013113022,0,0.35811007957059,0.208915973508444,-1.30693069306931,7382.12806495324,2.63636363636364,9396.42042502536,0.285414422705677,107,NA,52.8087609145365,0.327102803738318,0,1,0
"1718","Interpol","INTERPOL",2700,2000,1946,"task-specific",0.339166671037674,0.25,0.16666667163372,0.330000013113022,0,0.523953516923345,0.520210320142686,3.30263157894737,11657.6276707002,5.27710843373494,17196.302759388,0.272644919897466,176,NA,83.2292464312825,0.568181818181818,0,1,0
"1719","Interpol","INTERPOL",2700,1969,1946,"task-specific",0.297500014305115,0.25,0.16666667163372,0.330000013113022,0,0.361461678848204,0.215365124313015,-1.07216494845361,6922.62175612765,2.57333333333333,8817.32643372317,0.28058086213814,102,NA,51.3748185986974,0.333333333333333,0,1,0
"1720","Interpol","INTERPOL",2700,1976,1946,"task-specific",0.297500014305115,0.25,0.16666667163372,0.330000013113022,0,0.340601924476457,0.194762843110047,-1.91228070175439,9198.14434511332,2.72631578947368,14148.6103039731,0.29706231826336,121,NA,66.2483407271692,0.31404958677686,0,1,0
"1721","Interpol","INTERPOL",2700,1954,1946,"task-specific",0.020833333954215,0.0183333344757557,0,0,0,0.484085768430846,0.452798070941032,3.06976744186047,NA,2.64864864864865,NA,0.285265297472036,45,NA,NA,0.577777777777778,0,1,0
"1722","Interpol","INTERPOL",2700,1963,1946,"task-specific",0.297500014305115,0.25,0.16666667163372,0.330000013113022,0,0.413558323639912,0.321433782459085,0.354430379746835,6592.04552533097,2.77941176470588,7580.07739769578,0.273599935288089,86,NA,44.0698243873955,0.430232558139535,0,1,0
"1723","Interpol","INTERPOL",2700,2010,1946,"task-specific",0.339166671037674,0.25,0.16666667163372,0.330000013113022,0,0.546093932809856,0.556410901457127,3.84810126582278,14560.5917866213,5.82022471910112,22843.0842316897,0.26080486189583,184,8.34615384615385,88.2358682102864,0,0,1,0
"1724","Interpol","INTERPOL",2700,1967,1946,"task-specific",0.297500014305115,0.25,0.16666667163372,0.330000013113022,0,0.369665801069345,0.244350340173991,-0.989130434782609,6527.89991239091,2.67605633802817,8220.77884790238,0.280628747993721,97,NA,45.742455970004,0.350515463917526,0,1,0
"1725","Interpol","INTERPOL",2700,1995,1946,"task-specific",0.339166671037674,0.194444447755814,0.16666667163372,0.330000013113022,0,0.514628121973289,0.5256055652823,2.94630872483221,10109.3165920612,4.8476821192053,14858.4113226438,0.27654667422792,171,NA,77.5125632977327,0.567251461988304,0,1,0
"1726","Interpol","INTERPOL",2700,1998,1946,"task-specific",0.339166671037674,0.25,0.16666667163372,0.330000013113022,0,0.524788781467423,0.521956319146019,2.90728476821192,10849.3978894179,5.33552631578947,15840.1035542852,0.268839425057029,173,NA,80.6210316667481,0.554913294797688,0,1,0
"1727","Interpol","INTERPOL",2700,2001,1946,"task-specific",0.339166671037674,0.25,0.16666667163372,0.330000013113022,0,0.52629482128538,0.53241302896149,3.45394736842105,11712.5668107431,5.36470588235294,17281.2192028244,0.27312735561666,177,NA,82.3834972503639,0.570621468926554,0,1,0
"1728","Interpol","INTERPOL",2700,2003,1946,"task-specific",0.339166671037674,0.25,0.16666667163372,0.330000013113022,0,0.537196778896366,0.553175480122897,3.59210526315789,11955.1996232658,5.43023255813953,17564.7715419111,0.269382707167417,179,NA,83.8506578002089,0.558659217877095,0,1,0
"1729","Interpol","INTERPOL",2700,1999,1946,"task-specific",0.339166671037674,0.25,0.16666667163372,0.330000013113022,0,0.522518611183733,0.522431994575372,3.07894736842105,10912.4756984211,5.21019108280255,16135.1649166603,0.271278860511224,177,NA,79.5910052048981,0.559322033898305,0,1,0
"1730","Interpol","INTERPOL",2700,2014,1946,"task-specific",0.339166671037674,0.25,0.16666667163372,0.330000013113022,0,0.547072584313841,0.548466391572768,4.07453416149068,13638.5987840514,5.74033149171271,18582.4224236852,0.252849604175272,185,8.10869565217391,91.7835506661376,0,0,1,0
"1731","Interpol","INTERPOL",2700,1980,1946,"task-specific",0.297500014305115,0.25,0.16666667163372,0.330000013113022,0,0.362184675848147,0.200355772968431,-1.26271186440678,10151.5262766176,2.82,15793.4079426147,0.298767958445968,127,NA,78.4610811755123,0.322834645669291,0,1,0
"1732","Interpol","INTERPOL",2700,2012,1946,"task-specific",0.339166671037674,0.25,0.16666667163372,0.330000013113022,0,0.548796413454797,0.544450508596989,3.975,13372.0002857428,5.71270718232044,18331.8432901696,0.257913597431005,185,8.16847826086956,93.5156662719985,0,0,1,0
"1733","Interpol","INTERPOL",2700,1956,1946,"task-specific",0.297500014305115,0.25,0.16666667163372,0.330000013113022,0,0.478162000553954,0.428914756276177,2.6,NA,2.81818181818182,NA,0.29576165323657,54,NA,NA,0.518518518518518,0,1,0
"1734","Interpol","INTERPOL",2700,1962,1946,"task-specific",0.297500014305115,0.25,0.16666667163372,0.330000013113022,0,0.413411103662437,0.317874982999956,0.648648648648649,6515.58928929253,2.65671641791045,7463.85249705826,0.276814240747169,82,NA,43.0442419031179,0.439024390243902,0,1,0
"1735","Interpol","INTERPOL",2700,1965,1946,"task-specific",0.297500014305115,0.25,0.16666667163372,0.330000013113022,0,0.393635459659918,0.2840322393375,-0.325581395348837,6633.2368249285,2.62686567164179,8003.5461706301,0.274317715486389,92,NA,44.8372349495632,0.391304347826087,0,1,0
"1736","Interpol","INTERPOL",2700,1988,1946,"task-specific",0.339166671037674,0.194444447755814,0.16666667163372,0.330000013113022,0,0.399176310391271,0.242038499692599,-0.487603305785124,10081.7334891345,3.02586206896552,14282.5988957074,0.304162169677741,140,NA,70.3312002879304,0.421428571428571,0,1,0
"1737","Interpol","INTERPOL",2700,1975,1946,"task-specific",0.297500014305115,0.25,0.16666667163372,0.330000013113022,0,0.337538020151355,0.195565799664815,-1.77477477477477,9088.32435192361,2.72826086956522,14073.8904538074,0.293122523700918,119,NA,64.5047622539191,0.310924369747899,0,1,0
"1738","Interpol","INTERPOL",2700,1953,1946,"task-specific",0.020833333954215,0.0183333344757557,0,0,0,0.498329683069719,0.45205002483598,3.30769230769231,NA,2.36363636363636,NA,0.280046460909032,41,NA,NA,0.609756097560976,0,1,0
"1739","LOAS","LOAS",3450,1988,1945,"general purpose",0.425416678190231,0.131944447755814,0,0.165000006556511,0,0.119220024516182,0.111865019281157,-8,11532.6461444941,3,16435.7687724344,0.093023146285408,19,NA,75.6443269216349,0,1,0,0
"1740","LOAS","LOAS",3450,1962,1945,"general purpose",0.328750014305115,0.129629626870155,0,0.165000006556511,0,0.168277391764585,0.124826064770653,-5.66666666666667,666.79187390885,3.3,NA,0.117087607671529,13,NA,40.8051369563978,0.0769230769230769,1,0,0
"1741","LOAS","LOAS",3450,1983,1945,"general purpose",0.425416678190231,0.131944447755814,0,0.165000006556511,0,0.133086713835271,0.136293993353508,-8.11764705882353,15330.2166001308,3.35294117647059,26515.9083727791,0.0998791693236496,19,NA,91.1003988956222,0,1,0,0
"1742","LOAS","LOAS",3450,1973,1945,"general purpose",0.425416678190231,0.131944447755814,0,0.165000006556511,0,0.130780571105026,0.0941974823230641,-7.5625,6526.79209784745,3.125,11892.7077208371,0.108741359431477,18,NA,73.6318533657739,0.0555555555555556,1,0,0
"1743","LOAS","LOAS",3450,1963,1945,"general purpose",0.328750014305115,0.129629626870155,0,0.165000006556511,0,0.177328597593266,0.16423062485211,-6.45454545454545,1420.6219495269,2.63636363636364,1007.90527880828,0.102603701828548,13,NA,46.703217846842,0.0769230769230769,1,0,0
"1744","LOAS","LOAS",3450,1969,1945,"general purpose",0.328750014305115,0.129629626870155,0,0.165000006556511,0,0.154483163476991,0.128743455274294,-7.36363636363636,3587.47345870508,3.18181818181818,5401.72574726749,0.110778140868084,13,NA,51.4210521473208,0.0769230769230769,1,0,0
"1745","LOAS","LOAS",3450,1970,1945,"general purpose",0.328750014305115,0.129629626870155,0,0.165000006556511,0,0.152668190087798,0.104412537431682,-7.18181818181818,4892.96937802,3.45454545454545,8472.2857923228,0.123474010304706,13,NA,52.912247689842,0.0769230769230769,1,0,0
"1746","LOAS","LOAS",3450,1996,1945,"general purpose",0.425416678190231,0.131944447755814,0,0.165000006556511,0,0.185702403883417,0.201282929033409,-5.73684210526316,12363.2761809161,3.1,17911.5998779181,0.114877094257469,21,NA,75.6928257522022,0,1,0,0
"1747","LOAS","LOAS",3450,1978,1945,"general purpose",0.425416678190231,0.131944447755814,0,0.165000006556511,0,0.125717584331194,0.11912315187842,-8.05555555555556,15121.495677904,3.22222222222222,29178.574337971,0.0951707692496225,20,NA,81.4788997474331,0,1,0,0
"1748","LOAS","LOAS",3450,1984,1945,"general purpose",0.425416678190231,0.131944447755814,0,0.165000006556511,0,0.133468477475157,0.136293993353508,-8.05882352941176,15217.6159793535,3.41176470588235,26159.2241435698,0.100181949548498,19,NA,88.2528047849099,0,1,0,0
"1749","LOAS","LOAS",3450,2000,1945,"general purpose",0.425416678190231,0.131944447755814,0,0.165000006556511,0,0.187823066276461,0.206965871933121,-5.42105263157895,15038.1438900442,3.6,20129.4533400266,0.108878694774412,21,NA,76.4786698491039,0,1,0,0
"1750","LOAS","LOAS",3450,1990,1945,"general purpose",0.425416678190231,0.131944447755814,0,0.165000006556511,0,0.150951340337555,0.147472360519315,-7.35294117647059,10788.2637849961,3.15789473684211,18236.7897305804,0.109755412891819,20,NA,81.4058303906145,0,1,0,0
"1751","LOAS","LOAS",3450,2007,1945,"general purpose",0.425416678190231,0.402182519435883,0.261904746294022,0.165000006556511,0.785714268684387,0.261277854580849,0.243605922880055,-3.10526315789474,15700.6757912861,3.8,20156.877013548,0.150624559090888,21,3.9,95.1673546175335,0.0952380952380952,1,0,0
"1752","LOAS","LOAS",3450,2010,1945,"general purpose",0.507916688919067,0.402182519435883,0.261904746294022,0.165000006556511,0.785714268684387,0.261883824384707,0.242200302989305,-3,13939.6236790155,3.95,18220.40439907,0.150304156508701,21,3.75,92.4752886386452,0,1,0,0
"1753","LOAS","LOAS",3450,2005,1945,"general purpose",0.425416678190231,0.393849194049835,0.261904746294022,0.165000006556511,0.785714268684387,0.230340259096508,0.236679599720757,-3.68421052631579,15565.5322494698,3.7,20206.0061432216,0.121326781641345,21,4.05,94.0245876031971,0.0476190476190476,1,0,0
"1754","LOAS","LOAS",3450,1957,1945,"general purpose",0.328750014305115,0.129629626870155,0,0.165000006556511,0,0.195911281448957,0.172895472824572,-4,NA,4.14285714285714,NA,0.122512143498303,9,NA,NA,0.111111111111111,1,0,0
"1755","LOAS","LOAS",3450,1971,1945,"general purpose",0.328750014305115,0.129629626870155,0,0.165000006556511,0,0.144959781249688,0.0953583885252265,-7.41666666666667,5936.18167290731,3.33333333333333,9099.83647362532,0.123932421078349,17,NA,58.4439065591149,0.0588235294117647,1,0,0
"1756","LOAS","LOAS",3450,1959,1945,"general purpose",0.328750014305115,0.129629626870155,0,0.165000006556511,0,0.133578853996027,0.110913759434964,-6.25,NA,3.75,NA,0.100741651767146,10,NA,NA,0.1,1,0,0
"1757","LOAS","LOAS",3450,1977,1945,"general purpose",0.425416678190231,0.131944447755814,0,0.165000006556511,0,0.125034336995463,0.117977726509714,-8.05555555555556,16979.3736841346,3.33333333333333,33825.3080034413,0.0953291563880085,20,NA,84.7115112992993,0,1,0,0
"1758","LOAS","LOAS",3450,1966,1945,"general purpose",0.328750014305115,0.129629626870155,0,0.165000006556511,0,0.170385843254883,0.154222698630183,-7.18181818181818,1200.82439013657,3.09090909090909,626.701454810757,0.113313696940713,12,NA,48.5072933526254,0.0833333333333333,1,0,0
"1759","LOAS","LOAS",3450,2002,1945,"general purpose",0.425416678190231,0.131944447755814,0,0.165000006556511,0,0.204228449730722,0.188402962785964,-5.05263157894737,14691.3280437471,3.65,19674.5858815625,0.115414477015167,21,NA,78.0261679281228,0,1,0,0
"1760","LOAS","LOAS",3450,2014,1945,"general purpose",0.507916688919067,0.402182519435883,0.261904746294022,0.165000006556511,0.785714268684387,0.293920299634017,0.25970140641379,-1.95238095238095,13694.9311027603,3.9047619047619,18034.7992601439,0.17499396295882,21,3.47619047619048,91.9925673804194,0,1,0,0
"1761","LOAS","LOAS",3450,2012,1945,"general purpose",0.507916688919067,0.402182519435883,0.261904746294022,0.165000006556511,0.785714268684387,0.297521576097797,0.277693515076366,-2.04761904761905,14053.8779265859,3.9047619047619,18451.0457944168,0.171041301204046,21,3.47619047619048,96.6481718972458,0,1,0,0
"1762","LOAS","LOAS",3450,1955,1945,"general purpose",0.328750014305115,0.129629626870155,0,0.165000006556511,0,0.177475307146604,0.161944544731421,-2.85714285714286,NA,4.28571428571429,NA,0.140141166889776,8,NA,NA,0.125,1,0,0
"1763","LOAS","LOAS",3450,1998,1945,"general purpose",0.425416678190231,0.131944447755814,0,0.165000006556511,0,0.194319365237642,0.200282891782909,-5.68421052631579,12376.4907835036,3.1,17416.395915371,0.130659148272346,21,NA,74.7022923829154,0,1,0,0
"1764","LOAS","LOAS",3450,1964,1945,"general purpose",0.328750014305115,0.129629626870155,0,0.165000006556511,0,0.177832821450663,0.184107260329358,-6.45454545454545,1473.1359500015,2.90909090909091,1029.09199131382,0.103496021396548,13,NA,43.0225215328045,0.0769230769230769,1,0,0
"1765","LOAS","LOAS",3450,1979,1945,"general purpose",0.425416678190231,0.131944447755814,0,0.165000006556511,0,0.122137085708257,0.103025756922588,-8.16666666666667,16163.0998677119,3.27777777777778,31557.4026046953,0.0948151084354083,20,NA,85.9767369171481,0,1,0,0
"1766","LOAS","LOAS",3450,1995,1945,"general purpose",0.425416678190231,0.131944447755814,0,0.165000006556511,0,0.181607214726095,0.190162543836865,-6,12249.5813288915,3.1,17861.4279055556,0.123071689142215,21,NA,75.0288806182974,0,1,0,0
"1767","LOAS","LOAS",3450,1976,1945,"general purpose",0.425416678190231,0.131944447755814,0,0.165000006556511,0,0.120033231691609,0.0908275928668925,-8.11764705882353,16426.2876744916,3.29411764705882,32258.4649576801,0.0965659024551702,19,NA,79.7515259660036,0,1,0,0
"1768","LOAS","LOAS",3450,1953,1945,"general purpose",0.328750014305115,0.129629626870155,0,0.165000006556511,0,0.165377348474752,0.177574113727384,-4.85714285714286,NA,3.14285714285714,NA,0.119882787742024,8,NA,NA,0.125,1,0,0
